,RunId,iteration,Step,jury_or_televoting,year,mu,sigma,ks
43,43,0,1,T,2021,-0.08,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
44,44,0,1,T,2021,-0.08,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
45,45,0,1,T,2021,-0.09000000000000001,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
46,46,0,1,T,2021,-0.08,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
47,47,0,1,T,2021,-0.08,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
48,48,0,1,T,2021,-0.08,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
49,49,0,1,T,2021,-0.08,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
50,50,0,1,T,2021,-0.08,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
51,51,0,1,T,2021,-0.08,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
52,52,0,1,T,2021,-0.08,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
53,53,0,1,T,2021,-0.08,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
54,54,0,1,T,2021,-0.08,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
55,55,0,1,T,2021,-0.08,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
56,56,0,1,T,2021,-0.08,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
57,57,0,1,T,2021,-0.08,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
58,58,0,1,T,2021,-0.08,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
59,59,0,1,T,2021,-0.08,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
60,60,0,1,T,2021,-0.08,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
61,61,0,1,T,2021,-0.08,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
62,62,0,1,T,2021,-0.08,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
63,63,0,1,T,2021,-0.07,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
64,64,0,1,T,2021,-0.07,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
65,65,0,1,T,2021,-0.07,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
66,66,0,1,T,2021,-0.07,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
67,67,0,1,T,2021,-0.07,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
68,68,0,1,T,2021,-0.07,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
69,69,0,1,T,2021,-0.07,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
70,70,0,1,T,2021,-0.07,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
