,Unnamed: 0,Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points      ,Duplicate
41100,41100,2017,sf1,2017sf1,J,Azerbaijan,Belgium,0,
41101,41101,2017,sf1,2017sf1,J,Azerbaijan,Cyprus,0,
41102,41102,2017,sf1,2017sf1,J,Azerbaijan,Czech Republic,4,
41103,41103,2017,sf1,2017sf1,J,Azerbaijan,Finland,0,
41104,41104,2017,sf1,2017sf1,J,Azerbaijan,Georgia,6,
41105,41105,2017,sf1,2017sf1,J,Azerbaijan,Greece,0,
41106,41106,2017,sf1,2017sf1,J,Azerbaijan,Iceland,2,
41107,41107,2017,sf1,2017sf1,J,Azerbaijan,Latvia,1,
41108,41108,2017,sf1,2017sf1,J,Azerbaijan,Moldova,5,
41109,41109,2017,sf1,2017sf1,J,Azerbaijan,Montenegro,8,
41110,41110,2017,sf1,2017sf1,J,Azerbaijan,Poland,3,
41111,41111,2017,sf1,2017sf1,J,Azerbaijan,Portugal,12,
41112,41112,2017,sf1,2017sf1,J,Azerbaijan,Slovenia,0,
41113,41113,2017,sf1,2017sf1,J,Azerbaijan,Sweden,0,
41114,41114,2017,sf1,2017sf1,J,Belgium,Albania,0,
41115,41115,2017,sf1,2017sf1,J,Belgium,Armenia,0,
41116,41116,2017,sf1,2017sf1,J,Belgium,Australia,10,
41117,41117,2017,sf1,2017sf1,J,Belgium,Azerbaijan,5,
41118,41118,2017,sf1,2017sf1,J,Belgium,Belgium,0,x
41119,41119,2017,sf1,2017sf1,J,Belgium,Cyprus,8,
41120,41120,2017,sf1,2017sf1,J,Belgium,Czech Republic,6,
41121,41121,2017,sf1,2017sf1,J,Belgium,Finland,0,
41122,41122,2017,sf1,2017sf1,J,Belgium,Georgia,3,
41123,41123,2017,sf1,2017sf1,J,Belgium,Greece,0,
41124,41124,2017,sf1,2017sf1,J,Belgium,Iceland,2,
41125,41125,2017,sf1,2017sf1,J,Belgium,Latvia,0,
41126,41126,2017,sf1,2017sf1,J,Belgium,Moldova,1,
41127,41127,2017,sf1,2017sf1,J,Belgium,Montenegro,0,
41128,41128,2017,sf1,2017sf1,J,Belgium,Poland,4,
41129,41129,2017,sf1,2017sf1,J,Belgium,Portugal,7,
41130,41130,2017,sf1,2017sf1,J,Belgium,Slovenia,0,
41131,41131,2017,sf1,2017sf1,J,Belgium,Sweden,12,
41132,41132,2017,sf1,2017sf1,J,Cyprus,Albania,0,
41133,41133,2017,sf1,2017sf1,J,Cyprus,Armenia,5,
41134,41134,2017,sf1,2017sf1,J,Cyprus,Australia,7,
41135,41135,2017,sf1,2017sf1,J,Cyprus,Azerbaijan,4,
41136,41136,2017,sf1,2017sf1,J,Cyprus,Belgium,3,
41137,41137,2017,sf1,2017sf1,J,Cyprus,Cyprus,0,x
41138,41138,2017,sf1,2017sf1,J,Cyprus,Czech Republic,1,
41139,41139,2017,sf1,2017sf1,J,Cyprus,Finland,6,
41140,41140,2017,sf1,2017sf1,J,Cyprus,Georgia,0,
41141,41141,2017,sf1,2017sf1,J,Cyprus,Greece,12,
41142,41142,2017,sf1,2017sf1,J,Cyprus,Iceland,0,
41143,41143,2017,sf1,2017sf1,J,Cyprus,Latvia,0,
